VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_G,Total_H
20250113-r11190, 135, 0, 0, 7, 7, 13, 12, 42, 122, 674, 3, 0
20250226-vo5057, 106, 8, 9, 30, 81, 220, 532, 1351, 1265, 641, 161, 28
20250714-r11216, 106, 0, 1, 8, 20, 38, 29, 69, 188, 1184, 1, 3
20250908-r11224, 51, 0, 0, 7, 12, 19, 17, 50, 181, 1037, 57, 0
20250227-r41196, 49, 0, 0, 0, 1, 10, 13, 44, 133, 683, 3, 0
20251027-r11231, 53, 0, 1, 6, 16, 34, 24, 83, 174, 988, 3, 0
20250807-r41219, 58, 0, 0, 1, 1, 32, 30, 57, 180, 556, 3, 17
20250723-vo5204, 37, 2, 0, 4, 11, 66, 227, 927, 1724, 958, 60, 0
20250626-r41213, 27, 0, 0, 5, 13, 23, 25, 63, 172, 751, 15, 0
20250217-r11195, 213, 0, 1, 3, 7, 36, 13, 49, 128, 749, 8, 0
20250611-vo5162, 14, 26, 15, 57, 73, 178, 166, 805, 1846, 1462, 191, 255
20250514-vo5134, 105, 4, 15, 57, 174, 382, 684, 1667, 1376, 906, 558, 10
20250428-r11205, 89, 0, 0, 2, 14, 14, 61, 34, 96, 981, 78, 0
20250122-vo5022, 45, 9, 15, 43, 124, 277, 601, 1358, 1190, 1094, 302, 286
20250326-vo5085, 19, 1, 2, 14, 39, 140, 266, 887, 1397, 1029, 92, 7
20250102-r41188, 29, 0, 0, 8, 21, 12, 16, 35, 70, 426, 14, 0
20250731-r41218, 64, 0, 0, 3, 5, 19, 36, 89, 318, 568, 13, 0
20250922-r11226, 25, 0, 2, 2, 0, 9, 12, 23, 122, 891, 22, 0
20250804-r11219, 91, 1, 0, 3, 8, 22, 41, 57, 212, 991, 20, 0
20250410-r41202, 37, 0, 0, 0, 1, 7, 9, 40, 140, 907, 2, 0
20250310-r11198, 39, 0, 0, 3, 9, 13, 27, 30, 147, 698, 0, 0
20250313-r41198, 13, 0, 0, 10, 12, 19, 29, 58, 187, 723, 12, 0
20250724-r41217, 28, 0, 0, 1, 5, 8, 14, 29, 198, 846, 11, 0
20251030-r41231, 45, 0, 5, 5, 9, 18, 18, 27, 132, 689, 5, 0
20250910-vo5253, 278, 1, 1, 5, 32, 105, 130, 708, 2138, 1045, 109, 20
20250107-r11189, 195, 0, 0, 2, 7, 13, 12, 29, 66, 1157, 22, 0
20251113-r41233, 64, 0, 2, 1, 5, 15, 18, 35, 114, 907, 5, 0
20250130-r41192, 62, 0, 0, 5, 14, 24, 20, 43, 107, 660, 30, 0
20251208-r11237, 73, 0, 0, 1, 4, 6, 6, 12, 100, 1161, 14, 13
20250305-vo5064, 89, 4, 7, 26, 70, 162, 262, 772, 1469, 1007, 185, 66
20251008-vo5281, 17, 3, 5, 33, 99, 256, 697, 1320, 855, 237, 260, 7
20250813-r41220, 28, 0, 0, 3, 9, 12, 28, 40, 180, 482, 11, 0
20250422-r11204, 79, 0, 0, 7, 10, 24, 16, 57, 216, 1691, 1, 0
20250224-r11196, 63, 0, 0, 4, 8, 12, 26, 63, 182, 676, 51, 0
20250210-r11194, 130, 0, 0, 5, 16, 36, 28, 63, 139, 1050, 5, 0
20250901-r11223, 56, 0, 0, 4, 7, 9, 26, 54, 180, 1101, 0, 1
20250303-r11197, 91, 0, 2, 5, 4, 16, 15, 29, 126, 838, 0, 0
20250203-r11193, 73, 1, 3, 16, 38, 171, 34, 207, 63, 246, 7, 0
20250918-r41225, 19, 0, 0, 5, 13, 29, 21, 45, 99, 584, 15, 0
20251201-r11236, 63, 0, 0, 3, 2, 4, 8, 25, 121, 1150, 5, 1
20250526-r11209, 94, 0, 0, 1, 1, 2, 3, 16, 134, 1207, 2, 0
20251103-r11232, 52, 0, 0, 4, 9, 16, 15, 35, 135, 715, 0, 0
20250925-r41226, 79, 0, 0, 0, 2, 11, 19, 33, 150, 751, 10, 0
20250213-r41194, 61, 0, 1, 9, 9, 10, 14, 33, 141, 550, 12, 1
20250820-vo5232, 48, 1, 0, 10, 27, 109, 283, 983, 1550, 884, 113, 53
20250904-r41223, 54, 0, 0, 3, 3, 7, 13, 35, 162, 577, 7, 0
20250127-r11192, 57, 0, 0, 0, 0, 0, 4, 22, 61, 964, 0, 0
20250120-r11191, 100, 0, 0, 15, 20, 49, 48, 94, 212, 655, 1, 0
20251009-r41228, 50, 0, 0, 0, 6, 11, 16, 38, 152, 757, 2, 0
20250612-r41211, 28, 0, 0, 3, 6, 11, 110, 11, 193, 528, 4, 0
20251016-r41229, 79, 0, 0, 1, 0, 5, 13, 31, 138, 533, 14, 0
20250129-vo5029, 98, 0, 2, 5, 32, 106, 141, 889, 1374, 712, 69, 1
20250306-r41197, 61, 0, 0, 1, 4, 8, 24, 32, 127, 796, 8, 0
20250915-r11225, 47, 0, 0, 3, 8, 13, 12, 50, 184, 890, 1, 0
20250625-vo5176, 212, 11, 45, 101, 157, 211, 242, 839, 1963, 1870, 392, 102
20250320-r41199, 34, 0, 0, 0, 7, 10, 13, 38, 147, 877, 5, 1
20250507-r41206, 81, 0, 0, 8, 17, 40, 31, 56, 118, 954, 19, 0
20250414-r11203, 203, 0, 0, 0, 0, 8, 1, 12, 107, 1533, 1, 0
20251204-r41236, 25, 0, 0, 1, 1, 2, 9, 53, 173, 772, 0, 0
20250403-r41201, 43, 0, 1, 8, 15, 23, 26, 54, 118, 925, 15, 0
20250220-r41195, 83, 0, 0, 7, 12, 18, 23, 35, 85, 679, 19, 2
20250327-r41200, 53, 0, 1, 1, 1, 3, 5, 17, 112, 897, 0, 0
20250528-vo5148, 150, 1, 7, 23, 63, 176, 299, 869, 1034, 917, 129, 4
20250515-r41207, 78, 0, 0, 0, 1, 1, 4, 21, 250, 778, 0, 0
20251002-r41227, 301, 0, 0, 2, 4, 9, 13, 39, 82, 548, 6, 0
20251029-vo5302, 21, 7, 14, 82, 219, 479, 515, 550, 984, 465, 256, 0
20250115-vo5015, 94, 2, 3, 15, 77, 170, 386, 1282, 1514, 594, 160, 9
20251023-r41230, 14, 0, 0, 1, 4, 4, 8, 21, 137, 591, 5, 0
20251110-r11233, 49, 0, 0, 8, 9, 16, 23, 36, 97, 618, 1, 0
20250402-vo5092, 35, 4, 13, 50, 105, 301, 470, 1219, 1575, 957, 295, 444
20251013-r11229, 210, 0, 1, 1, 2, 7, 7, 25, 80, 965, 26, 0
20251106-r41232, 64, 0, 0, 4, 20, 20, 34, 76, 165, 637, 25, 0
20250331-r11201, 84, 0, 0, 0, 0, 6, 12, 53, 197, 1312, 4, 0
20250728-r11218, 63, 0, 1, 3, 13, 23, 28, 51, 137, 1073, 90, 0
20250522-r41208, 50, 0, 0, 0, 5, 4, 9, 15, 139, 388, 5, 0
20250821-r41221, 54, 0, 1, 6, 18, 38, 42, 87, 218, 614, 20, 1
20250206-r41193, 0, 5, 9, 58, 77, 108, 88, 90, 133, 138, 183, 0
20250828-r41222, 31, 0, 0, 0, 6, 8, 4, 24, 110, 867, 5, 0
20250409-vo5099, 36, 9, 10, 33, 88, 300, 309, 1036, 1322, 797, 238, 18
20250212-vo5043, 16, 0, 4, 19, 38, 152, 349, 840, 937, 425, 131, 2
20250424-r41204, 20, 0, 0, 3, 3, 5, 15, 27, 93, 1118, 4, 1
20250505-r11206, 252, 0, 1, 0, 5, 15, 10, 22, 150, 1460, 39, 0
20251006-r11228, 73, 0, 0, 0, 0, 7, 8, 15, 130, 854, 6, 0
20250717-r41216, 36, 0, 0, 4, 3, 13, 16, 57, 144, 618, 10, 0
20250605-r41210, 22, 0, 0, 2, 10, 23, 26, 46, 181, 798, 12, 0
20250619-r41212, 29, 0, 1, 3, 25, 37, 28, 108, 579, 262, 13, 1
20250721-r11217, 74, 0, 0, 6, 13, 30, 32, 57, 219, 1481, 3, 1
20250929-r11227, 106, 0, 0, 5, 10, 15, 14, 31, 95, 825, 0, 0
20250519-r11208, 30, 0, 0, 2, 2, 15, 23, 51, 189, 1543, 2, 0
20250116-r41190, 31, 0, 0, 0, 1, 1, 4, 20, 82, 116, 1, 2
20250123-r41191, 74, 0, 0, 0, 1, 3, 8, 42, 129, 601, 7, 2
20250317-r11199, 78, 0, 0, 2, 4, 13, 23, 43, 123, 1075, 29, 0
20250430-vo5120, 65, 1, 22, 100, 219, 442, 766, 1135, 855, 617, 612, 1
20250825-r11222, 26, 0, 2, 2, 3, 1, 8, 8, 105, 675, 25, 2
20251020-r11230, 75, 0, 0, 2, 3, 7, 12, 29, 118, 656, 17, 0
20250818-r11221, 25, 0, 0, 5, 6, 2, 4, 8, 58, 735, 1, 1
20250911-r41224, 33, 0, 1, 3, 2, 12, 16, 37, 141, 527, 8, 0
20250324-r11200, 95, 0, 0, 2, 5, 14, 15, 40, 102, 1012, 38, 0
